                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2563,                 5.6871,                 4.1718,                      0,                      0,                      0,                      0,                 3.2147,                  6.158,                 4.1445,             0.00010829,             0.00010829,             0.00010829
                      2,                 3.1899,                 5.6093,                 4.0735,                      0,                      0,                      0,                      0,                 3.1484,                 6.0942,                 4.0944,             0.00021712,             0.00021712,             0.00021712
                      3,                 3.0568,                 5.3996,                  3.801,                      0,                      0,                      0,                      0,                 2.8519,                 6.0034,                 3.8435,             0.00032375,             0.00032375,             0.00032375
                      4,                 2.9883,                 5.2482,                 3.5975,                0.00304,                0.15152,                0.00432,                0.00125,                 2.4143,                 5.7704,                 3.3392,             0.00032311,             0.00032311,             0.00032311
                      5,                 2.8576,                 4.9999,                 3.3793,                 0.0017,                0.13258,                0.00297,                0.00103,                 2.5128,                 5.8345,                 3.4524,             0.00031981,             0.00031981,             0.00031981
                      6,                 2.6191,                  4.693,                 3.2147,                0.00081,                0.03409,                 0.0009,                0.00048,                 2.7907,                 6.8383,                 3.7755,             0.00031652,             0.00031652,             0.00031652
                      7,                 2.4187,                 4.5969,                 3.0424,                0.00085,                0.04545,                0.00077,                0.00037,                 2.5346,                 5.7864,                 3.4637,             0.00031322,             0.00031322,             0.00031322
                      8,                 2.2875,                 4.4185,                 2.8613,                0.00154,                0.22727,                0.00292,                0.00106,                 2.4555,                 5.8599,                 3.3403,             0.00030992,             0.00030992,             0.00030992
                      9,                 2.1336,                 4.2285,                 2.6898,                0.00316,                0.39773,                0.01345,                0.00468,                 2.3787,                  5.455,                  3.055,             0.00030663,             0.00030663,             0.00030663
                     10,                 1.9813,                 4.0782,                 2.5626,                0.00395,                0.25379,                0.00733,                0.00277,                 2.3317,                 5.4901,                 3.1372,             0.00030333,             0.00030333,             0.00030333
                     11,                 1.9481,                 4.0979,                  2.515,                0.00653,                 0.5303,                0.04697,                0.01894,                  2.114,                 5.1571,                 2.8078,             0.00030003,             0.00030003,             0.00030003
                     12,                 1.8578,                 3.9726,                 2.4069,                0.00454,                0.43939,                0.01534,                0.00618,                 2.1134,                 5.3712,                 2.9072,             0.00029674,             0.00029674,             0.00029674
                     13,                 1.8259,                 3.8886,                 2.3538,                0.00512,                0.65909,                0.04681,                0.02733,                 1.9975,                 5.1214,                  2.728,             0.00029344,             0.00029344,             0.00029344
                     14,                 1.7642,                 3.8089,                 2.2725,                0.00532,                0.57197,                0.04589,                0.01806,                 2.0415,                 5.0093,                 2.6979,             0.00029014,             0.00029014,             0.00029014
                     15,                 1.7352,                  3.795,                  2.239,                0.01231,                0.56439,                0.03721,                0.01774,                  1.932,                 5.0579,                 2.6812,             0.00028685,             0.00028685,             0.00028685
                     16,                 1.7211,                 3.7551,                 2.2078,                0.00392,                0.76515,                0.11244,                0.05132,                 1.9243,                 4.9957,                 2.5713,             0.00028355,             0.00028355,             0.00028355
                     17,                  1.628,                 3.6484,                 2.1294,                0.00566,                0.77273,                0.10341,                0.03904,                 2.0524,                 4.8518,                  2.654,             0.00028025,             0.00028025,             0.00028025
                     18,                 1.6552,                 3.6772,                 2.1572,                 0.0063,                0.73864,                0.08516,                0.04408,                 1.9424,                  4.747,                 2.5976,             0.00027696,             0.00027696,             0.00027696
                     19,                 1.6723,                 3.6279,                 2.1184,                0.00513,                0.69318,                0.07133,                0.03507,                 1.8002,                 4.8031,                 2.4431,             0.00027366,             0.00027366,             0.00027366
                     20,                 1.6393,                 3.6303,                 2.1008,                0.00486,                 0.8447,                0.07292,                0.03157,                 2.0223,                 4.7359,                 2.5377,             0.00027036,             0.00027036,             0.00027036
                     21,                 1.5792,                 3.5661,                 2.0465,                0.00827,                0.69697,                0.12156,                0.05334,                 1.8664,                 4.5838,                 2.3776,             0.00026707,             0.00026707,             0.00026707
