                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0894,                 5.1436,                  4.045,                0.00157,                0.10181,                0.00163,                0.00043,                 1.5623,                 5.6584,                 3.9469,              0.0033267,              0.0033267,              0.0033267
                      2,                 1.9127,                 4.1617,                 3.5565,                0.16537,                0.21701,                0.10426,                0.05741,                 1.4477,                 4.4606,                 3.3971,              0.0066337,              0.0066337,              0.0066337
                      3,                 1.5253,                 3.5728,                 3.3379,                0.31552,                0.34456,                0.18335,                0.12874,                 1.0785,                 3.3082,                 3.2102,              0.0099142,              0.0099142,              0.0099142
                      4,                 1.3546,                 3.1099,                 3.1931,                0.38771,                0.47057,                0.38131,                0.28779,                0.96105,                 2.4561,                 2.9605,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.2703,                 2.7527,                 3.1217,                0.27459,                0.68015,                0.43011,                0.33086,                 0.8986,                 2.0756,                 2.9594,              0.0098416,              0.0098416,              0.0098416
                      6,                  1.201,                 2.4998,                 3.0433,                0.44587,                0.67503,                0.58982,                0.47443,                0.78668,                 1.5586,                  2.798,               0.009802,               0.009802,               0.009802
                      7,                 1.1612,                 2.3423,                 3.0008,                0.61047,                 0.6033,                0.66945,                  0.542,                0.75051,                 1.3426,                 2.9315,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.1306,                 2.2209,                 2.9551,                0.53544,                0.70012,                0.68075,                0.54399,                 0.8026,                 1.3713,                 2.9401,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.0871,                  2.085,                 2.9195,                0.71032,                  0.729,                0.79625,                0.65291,                0.72261,                 1.1619,                 2.7313,              0.0096832,              0.0096832,              0.0096832
                     10,                  1.061,                 2.0015,                 2.8697,                0.71366,                0.79703,                0.83965,                0.69802,                 0.7042,                0.96459,                 2.6676,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.0498,                 1.9279,                 2.8558,                 0.6969,                 0.7985,                0.84502,                0.69969,                0.71491,                 1.0342,                 2.6608,               0.009604,               0.009604,               0.009604
                     12,                 1.0368,                 1.8593,                 2.8069,                0.76106,                 0.8047,                0.88112,                0.72541,                0.71722,                0.90379,                 2.5418,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.0149,                  1.798,                 2.7787,                0.79665,                0.82917,                0.89608,                0.75748,                0.64812,                0.85441,                  2.574,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.0062,                 1.7399,                 2.7618,                0.82347,                0.85578,                0.92593,                0.77431,                0.68152,                0.82139,                 2.5196,              0.0094852,              0.0094852,              0.0094852
                     15,                 0.9948,                 1.7018,                 2.7384,                0.85169,                0.88042,                0.94015,                0.79363,                0.65691,                0.73129,                 2.5015,              0.0094456,              0.0094456,              0.0094456
                     16,                0.97433,                 1.6349,                 2.7198,                0.89075,                0.89261,                0.94798,                0.79268,                 0.6594,                0.69993,                 2.5202,               0.009406,               0.009406,               0.009406
                     17,                0.96899,                 1.6134,                 2.7075,                0.88412,                0.88722,                0.95003,                0.80216,                0.64611,                0.69148,                 2.4732,              0.0093664,              0.0093664,              0.0093664
                     18,                0.95559,                 1.5535,                  2.687,                0.89441,                0.87987,                0.95342,                0.80291,                 0.6661,                0.70387,                 2.4437,              0.0093268,              0.0093268,              0.0093268
